,movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
385,Bridge to Terabithia,2007-02-16,Drama,PG,82234139.0,100760721.0
386,Wild Hogs,2007-03-02,Comedy,PG-13,168213584.0,206110533.0
387,Meet the Robinsons,2007-03-30,Adventure,G,97822171.0,119860589.0
388,The Lookout,2007-03-30,Drama,R,4600585.0,5637048.0
389,The Hoax,2007-04-06,Drama,R,7164995.0,8779196.0
390,The Invisible,2007-04-27,Thriller/Suspense,PG-13,20568319.0,25202168.0
391,Pirates of the Caribbean: At World’…,2007-05-24,Adventure,PG-13,309420425.0,379129960.0
392,Ratatouille,2007-06-29,Comedy,G,206445654.0,252955933.0
393,Underdog,2007-08-03,Adventure,PG,43760605.0,53619462.0
394,The Game Plan,2007-09-22,Comedy,PG,90648202.0,111010758.0
395,Dan in Real Life,2007-10-20,Romantic Comedy,PG-13,47642963.0,58350234.0
396,Enchanted,2007-11-21,Romantic Comedy,PG,127706877.0,156074310.0
397,National Treasure 2: Book of Secrets,2007-12-21,Adventure,PG,219961501.0,267003525.0
398,Hannah Montana/Miley Cyrus: Best of B…,2008-02-01,Concert/Performance,G,65281781.0,76646993.0
399,Step Up 2 the Streets,2008-02-14,Drama,PG-13,58017783.0,68118371.0
400,College Road Trip,2008-03-07,Comedy,G,45610425.0,53550960.0
401,The Chronicles of Narnia: Prince Caspian,2008-05-16,Adventure,PG,141621490.0,166277038.0
402,WALL-E,2008-06-27,Adventure,G,223808164.0,262771918.0
